dataset,score
31,0.7465238095238095
10101,0.5639949547070289
3913,0.7549242424242424
3,0.8559007715045992
3917,0.6326834589579493
53,0.9009773883891434
11,0.7667464116758181
16,0.9934861111111111
32,0.9985977822708542
3549,0.9986418127938872
12,0.9930722222222222
